,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
387,yerbogachen,12,RU,1535236479,94,61.28,108.01,51.32,3.62
388,guerrero negro,0,MX,1535236479,59,27.97,-114.04,78.95,13.13
389,necochea,0,AR,1535236361,76,-38.55,-58.74,37.55,2.95
390,gondanglegi,8,ID,1535236480,87,-7.75,112.01,67.79,5.75
391,morelia,40,MX,1535233260,47,19.7,-101.19,78.8,4.7
392,kimberley,0,ZA,1535234400,20,-28.74,24.76,51.8,6.93
393,vao,92,EE,1535236481,96,59.1,26.19,57.08,2.62
394,batuan,100,CN,1535236481,99,27.04,113.72,72.65,3.96
395,ronneby,92,SE,1535233800,100,56.21,15.28,51.8,5.82
396,morro bay,1,US,1535234160,51,35.37,-120.85,84.02,11.41
397,linden,20,GY,1535234400,78,6.01,-58.31,82.4,11.41
398,gansing,75,AT,1535233800,93,48.3,13.54,55.4,5.82
399,svidnik,56,SK,1535236482,94,49.31,21.57,56.09,2.51
400,santa rosa,0,AR,1535236483,37,-36.62,-64.29,46.01,6.64
401,dukhovshchina,0,RU,1535236329,62,55.19,32.41,56.72,10.67
402,vangaindrano,0,MG,1535236483,90,-23.35,47.6,55.55,2.51
403,mahroni,100,IN,1535236484,97,24.59,78.73,74.0,13.24
404,kamenka,0,RU,1535236484,81,53.19,44.05,52.13,3.4
405,inuvik,75,CA,1535234400,51,68.36,-133.71,59.0,3.36
406,ciudad bolivar,20,VE,1535236484,69,8.12,-63.55,82.82,11.56
407,lavrentiya,76,RU,1535236336,93,65.58,-170.99,46.46,11.68
408,healdsburg,1,US,1535234160,50,38.61,-122.87,89.96,4.7
409,baruun-urt,88,MN,1535236369,51,46.68,113.28,65.63,8.55
410,mesetas,88,CO,1535236485,58,3.38,-74.04,78.05,2.95
411,avera,1,US,1535234400,40,33.19,-82.53,89.06,8.05
412,bongandanga,36,CD,1535236485,97,1.51,21.07,71.03,2.39
413,brookhaven,20,US,1535235300,64,40.78,-72.92,77.0,6.93
414,ambulu,68,ID,1535236486,100,-8.35,113.61,73.01,4.63
415,sainte-anne-des-monts,88,CA,1535236486,72,49.13,-66.49,65.81,12.12
416,camacha,20,PT,1535234400,77,33.08,-16.33,71.6,9.17
417,rawson,8,AR,1535236486,53,-43.3,-65.11,53.03,5.53
418,nortelandia,92,BR,1535236487,73,-14.45,-56.8,69.68,10.11
419,denpasar,20,ID,1535234400,83,-8.65,115.22,77.0,8.05
420,sao carlos,0,BR,1535234400,77,-22.02,-47.89,69.8,2.24
421,vanimo,80,PG,1535236487,100,-2.67,141.3,77.78,5.75
422,senanga,0,ZM,1535236487,44,-16.1,23.3,62.57,7.09
423,dunedin,0,NZ,1535236263,73,-45.87,170.5,53.93,2.95
424,trincomalee,80,LK,1535236488,88,8.58,81.23,76.97,14.25
425,zhigansk,0,RU,1535236488,69,66.77,123.37,54.02,3.06
426,kavos,0,GR,1535233800,78,38.83,22.83,73.4,3.36
427,sambava,80,MG,1535236488,100,-14.27,50.17,70.13,12.24
428,mahibadhoo,76,MV,1535236550,100,3.78,72.97,82.37,10.11
429,nizhnyaya tavda,8,RU,1535236550,91,57.67,66.17,57.08,13.13
430,llanelli,88,GB,1535235600,87,51.68,-4.16,55.4,3.36
431,kavaratti,48,IN,1535236342,94,10.57,72.64,82.73,15.7
432,nanakuli,75,US,1535234340,78,21.39,-158.15,82.94,8.05
433,ouallam,80,NE,1535236551,84,14.32,2.08,76.07,11.12
434,phan thiet,76,VN,1535236551,99,10.93,108.1,78.59,12.12
435,ponta delgada,20,PT,1535234400,78,37.73,-25.67,71.6,10.29
436,gat,76,SN,1535230800,70,14.69,-16.54,86.0,2.24
437,saryozek,0,KZ,1535236551,53,44.36,77.98,51.32,4.97
438,chalus,75,IR,1535234400,88,36.66,51.42,75.2,0.16
439,karonga,36,MW,1535236339,100,-9.94,33.93,71.84,10.22
440,hukuntsi,0,BW,1535236552,18,-23.98,21.76,53.03,4.41
441,san jeronimo,0,PE,1535236552,58,-13.65,-73.37,44.66,1.95
442,ridgetown,92,CA,1535236347,100,42.44,-81.88,69.41,15.59
443,harrison,40,US,1535236140,73,39.26,-84.82,80.06,4.7
444,cape girardeau,1,US,1535235300,72,37.31,-89.52,87.98,8.05
445,san andres,48,PH,1535236553,95,13.32,122.68,83.9,20.18
446,zyryanka,76,RU,1535236553,76,65.73,150.89,45.92,5.53
447,ostrovnoy,80,RU,1535236554,70,68.05,39.51,62.39,17.6
448,massakory,44,TD,1535236554,95,13.0,15.73,72.65,3.06
449,linjiang,80,CN,1535236554,91,41.81,126.91,59.15,6.53
450,susanville,1,US,1535235300,10,40.42,-120.65,84.2,10.29
451,nalut,0,LY,1535236554,53,31.86,10.98,73.73,7.43
452,awbari,56,LY,1535236555,30,26.59,12.77,83.9,7.65
453,serebryanyy bor,36,RU,1535236555,79,56.8,124.8,65.45,4.74
454,xai-xai,0,MZ,1535236394,96,-25.04,33.64,68.87,14.14
455,suoyarvi,92,RU,1535236359,99,62.08,32.35,57.71,3.62
456,cururupu,44,BR,1535236555,79,-1.82,-44.87,79.13,5.97
457,pasighat,76,IN,1535236555,94,28.06,95.33,71.75,1.72
458,tahoua,56,NE,1535236381,91,14.89,5.26,73.28,9.44
459,mayor pablo lagerenza,12,PY,1535236556,34,-19.93,-60.77,61.85,11.23
460,birjand,0,IR,1535234400,22,32.86,59.22,66.2,6.93
461,sobolevo,0,RU,1535236556,72,54.43,31.9,55.19,4.18
462,boulder city,40,US,1535235300,18,35.98,-114.83,102.2,18.34
463,beira,0,ES,1535234400,82,43.2,-8.36,62.6,3.36
464,nadym,88,RU,1535236557,84,65.53,72.51,53.84,16.15
465,bagli,75,IN,1535230800,94,22.64,76.35,73.4,6.93
466,havoysund,68,NO,1535233800,100,71.0,24.66,48.2,19.46
467,concepcion del uruguay,0,AR,1535236318,63,-32.48,-58.24,41.69,2.73
468,tambun,75,MY,1535234400,83,4.62,101.14,75.2,4.7
469,yar-sale,0,RU,1535236558,100,66.83,70.83,48.17,19.62
470,acajutla,20,SV,1535233800,66,13.59,-89.83,87.8,4.7
471,wanning,75,AT,1535233800,93,48.64,13.53,55.4,5.82
472,savonlinna,90,FI,1535235600,93,61.87,28.88,57.2,2.24
473,agirish,8,RU,1535236558,92,61.92,63.02,53.3,5.97
474,tilichiki,88,RU,1535236559,79,60.47,166.1,50.51,11.01
475,caraballeda,75,VE,1535234400,78,10.61,-66.85,82.4,3.36
476,dingle,76,PH,1535236559,79,11.0,122.67,81.2,5.53
477,chama,0,ZM,1535236559,78,-11.22,33.16,61.04,11.01
478,acapulco,40,MX,1535233320,70,16.86,-99.88,87.8,8.05
479,kulu,24,CD,1535236560,97,3.47,23.69,69.95,1.95
480,bilma,0,NE,1535236560,48,18.69,12.92,83.9,11.45
481,coihaique,90,CL,1535234400,93,-45.58,-72.07,44.6,9.17
482,xianyang,20,CN,1535234400,88,34.31,108.72,75.2,3.96
483,oktyabrskoye,32,RU,1535236622,88,56.73,85.44,56.72,5.97
484,madimba,40,CM,1535234400,94,4.42,9.93,75.2,3.36
485,risaralda,40,CO,1535234400,52,5.17,-75.77,77.0,4.7
486,katangli,36,RU,1535236622,89,51.71,143.23,57.8,0.72
487,alofi,76,NU,1535234400,94,-19.06,-169.92,73.4,9.17
488,secunda,0,ZA,1535236623,52,-26.52,29.2,56.72,12.24
489,constitucion,75,MX,1535233200,28,23.99,-104.67,80.6,8.05
490,ucluelet,90,CA,1535234400,93,48.94,-125.55,57.2,6.93
491,port moresby,88,PG,1535236414,100,-9.47,147.16,76.88,13.58
492,baiyin,0,CN,1535234400,100,36.55,104.13,51.8,4.47
493,saurimo,44,AO,1535236624,89,-9.66,20.4,67.88,2.39
494,moose factory,1,CA,1535234400,87,51.26,-80.61,60.8,10.29
495,poum,44,MK,1535236624,92,41.28,20.71,57.98,2.06
496,beyneu,0,KZ,1535236624,65,45.32,55.19,55.19,4.63
497,khani,40,GE,1535234400,94,41.96,42.96,69.8,2.24
498,matara,0,PE,1535236625,58,-13.74,-72.9,44.66,1.95
499,nipawin,90,CA,1535234400,71,53.36,-104.02,53.6,9.17
500,xiongyue,64,CN,1535236625,68,40.18,122.12,73.55,4.52
501,nueve de julio,0,AR,1535236625,67,-31.67,-68.39,47.27,5.53
502,broken hill,0,AU,1535236626,58,-31.97,141.45,55.82,5.97
503,nome,1,US,1535235300,45,30.04,-94.42,95.54,10.29
504,yangjiang,68,CN,1535236626,100,21.85,111.96,78.77,5.08
505,kesinga,88,IN,1535236626,94,20.19,83.22,74.0,6.98
506,rorvik,92,NO,1535236626,100,64.86,11.24,49.25,11.01
507,orje,80,NO,1535233800,87,59.48,11.66,48.2,3.36
508,constantine,20,DZ,1535234400,60,36.36,6.61,69.8,3.18
509,mirsid,0,RO,1535234400,82,47.23,23.13,68.0,4.7
510,alta floresta,20,BR,1535230800,66,-9.87,-56.08,84.2,5.82
511,feni,88,BD,1535236627,92,23.02,91.41,81.02,10.45
512,ambunti,44,PG,1535236628,93,-4.22,142.82,78.41,2.51
513,abalak,64,NE,1535236628,78,15.46,6.28,76.79,11.56
514,ambuclao,92,PH,1535236628,99,16.48,120.75,70.31,2.39
515,ingleside,1,CA,1535235300,47,45.0,-74.99,82.04,11.41
516,bekhtery,0,UA,1535236629,94,46.25,32.3,69.59,8.1
517,registro,92,BR,1535236629,84,-24.5,-47.84,59.33,3.62
518,pitsunda,40,GE,1535234400,88,43.16,40.34,73.4,8.95
519,hami,24,CN,1535236406,36,42.84,93.51,66.98,6.42
520,laakirchen,75,AT,1535233800,93,47.98,13.82,55.4,5.82
521,taltal,0,CL,1535236630,89,-25.41,-70.49,55.01,2.17
522,mogadishu,80,SO,1535236451,100,2.04,45.34,76.52,19.51
523,tripoli,20,GR,1535233800,83,37.51,22.37,73.4,2.51
524,gondar,0,PT,1535234400,77,41.82,-8.78,64.4,12.75
525,kutum,32,SD,1535236631,88,14.2,24.66,65.27,3.62
526,jalali,92,IN,1535236631,99,29.76,79.34,64.46,2.06
527,waitati,0,NZ,1535236631,73,-45.75,170.57,53.93,2.95
528,saint-leu,75,RE,1535234400,60,-21.15,55.28,69.8,6.93
529,mianyang,56,CN,1535236693,68,31.46,104.75,77.87,7.09
530,juneau,90,US,1535234160,96,58.3,-134.42,57.02,6.93
531,strathmore,40,CA,1535234400,34,51.04,-113.4,66.2,3.36
